Name,Image Path,Description,Height:,DOB:,Birth Place:,Net Worth:,Zodiac:,Relationship Status:,Ethnicity:
Michael Keaton,images/Michael_Keaton.jpg,"Michael Keaton is an American actor who rose to fame in the late 1970s with his comedic performances in films such as ""Night Shift"" and ""Mr. Mom."" He first gained widespread recognition for his portrayal of the titular superhero in Tim Burton's ""Batman"", which established him as one of the leading action stars of his generation. In the years following his success in ""Batman,"" Keaton's career went through a period of decline, with a string of commercial failures and uninspired roles. However, he made a resurgence with a series of critically acclaimed performances, starting with his role in ""The Other Guys"". He went on to star in films such as ""Birdman"", for which he received an Academy Award nomination for Best Actor. He also starred in ""Spider-Man: Homecoming"", in which he played the villain Vulture. Michael Keaton's career has been marked by a resurgence in the 2010s, following a period of decline in the 1990s and 2000s. He is now considered one of the most versatile and accomplished actors of his generation.",175 cm,05-Sep-1951 (73 years),Pennsylvania (United States),$40 Million,Virgo,Single,Caucasian
Anthony Hopkins,images/Anthony_Hopkins.jpg,"Sir Anthony Hopkins is a Welsh actor, regarded as one of the greatest actors of his generation. He is best known for his portrayal of Hannibal Lecter in ""The Silence of the Lambs"", for which he won the Academy Award for Best Actor. Hopkins has a long and illustrious career that spans over six decades, during which he has appeared in numerous critically acclaimed films and television shows. Some of his notable roles include “A Bridge Too Far”, “The Remains of the Day”, ""Legends of the Fall"", ""Nixon"", ""Amistad"", “Howards End”, and ""Thor"". Hopkins is also a highly regarded stage actor, having performed in numerous productions in London's West End and on Broadway. In addition to his acting career, Hopkins is a classically trained musician and a talented painter. With a career that has seen him take on a wide range of roles and win numerous awards and accolades, Sir Anthony Hopkins is widely regarded as one of the greatest actors of all time.",175 cm,31-Dec-1937 (87 years),Port Talbot (United Kingdom),$160 Million,Capricorn,Married,Welsh
J.K. Simmons,images/JK_Simmons.jpg,"J. K. Simmons is an American actor best known as an imminent character actor. He is widely recognized for his critically acclaimed performance as jazz drummer Terence Fletcher in the 2014 film ""Whiplash,"" for which he won an Academy Award for Best Supporting Actor. Simmons has had a long and successful career, appearing in numerous popular television shows such as ""Law & Order,"" ""The Closer,"" and ""Oz."" He also starred in films such as “La La Land,” “Being The Ricardos,” ""Spider-Man,"" ""Juno,"" and ""Up in the Air."" He is known for his versatility as an actor, bringing depth and nuance to his characters. In addition to his work as an actor, Simmons is also an accomplished voice actor, lending his distinctive voice to “Gravity Falls,” “The Legend of Korra,” “Aperture Desk Job,” etc. He is widely regarded as one of the finest character actors of his generation.",180 cm,09-Jan-1955 (70 years),Michigan (United States),$20 Million,Capricorn,Married,Caucasian
Robert Duvall,images/Robert_Duvall.jpg,"Robert Duvall is an American actor, director, and producer best known for his powerful and nuanced performances in film and television. Duvall first rose to prominence in the 1960s with his performances in films such as ""To Kill a Mockingbird"" and ""The Godfather.""  He has since gone on to have a long and successful career, appearing in films such as ""The Godfather Part II,"" ""Apocalypse Now,"" “Bullitt,” “True Grit,” and ""The Great White Hope."" Duvall is widely regarded as one of the greatest actors of his generation. He worked in Broadway plays like “Wait Until Dark”, ”American Buffalo,” etc. He has received seven Academy Award nominations and four Golden Globe Award nominations. He has won several awards, including an Academy Award for Best Actor for his performance in ""Tender Mercies."" Duvall's impact on Hollywood is significant, and he is widely regarded as one of the finest actors of his generation.",174 cm,05-Jan-1931 (94 years),"San Diego, California (United States)",$70 Million,Capricorn,Married,Caucasian
Ben Kingsley,images/Ben_Kingsley.jpg,"Sir Ben Kingsley is an English actor on stage and screen, widely regarded as one of the greatest actors of his generation. He rose to prominence in the 1970s with a string of acclaimed performances, including his award-winning role in the film ""Gandhi,"" for which he won an Academy Award for Best Actor. Kingsley has since gone on to have a long and illustrious career, appearing in numerous films and television shows and delivering powerful and nuanced performances. He starred in “Schindler's List,” “Maurice,” “Bugsy,” “Twelfth Night,” “Sexy Beast,” “House of Sand and Fog,” “Elegy,” “Shutter Island,” etc. He has been nominated for numerous awards, including six Academy Award nominations, and has won several awards, including two BAFTA Awards. Kingsley is known for his ability to bring depth and nuance to his characters, from historical figures to fictional characters.",173 cm,31-Dec-1943 (81 years),Yorkshire (England),$40 Million,Capricorn,Married,Mixed (Indian-English)
Samuel L. Jackson,images/Samuel_L_Jackson.jpg,"Samuel L. Jackson is an American actor, producer, and voice artist, known for his versatile and powerful performances. He rose to prominence in the 1990s with his portrayal of Jules Winnfield in the classic film ""Pulp Fiction"", for which he received an Academy Award nomination. Since then, Jackson has become one of the most recognizable faces in Hollywood, appearing in over 150 films, including ""Unbreakable"", ""Shaft"", ""The Avengers"" franchise, and ""Glass"". He is widely regarded as one of the most successful and highest-grossing actors of all time. He has starred in some of the biggest box office hits of all time. Jackson is also known for his distinctive voice, which he has lent to several animated films and video games, including ""Afro Samurai"" and the ""Grand Theft Auto"" franchise. With a career spanning over four decades, Jackson has cemented his place as one of the most iconic actors of his generation.",188 cm,21-Dec-1948 (76 years),"Washington, D.C. (USA)",$250 Million,Sagittarius,Married,African-American
John Travolta,images/John_Travolta.jpg,"John Travolta rose to fame in the late 1970s for his role as Tony Manero in ""Saturday Night Fever"", which became one of the defining films of the disco era. Travolta was one of the biggest movie stars in the world, starring in a string of hit films such as ""Grease"", ""Urban Cowboy"", and ""Look Who's Talking"". In the 1990s, his career went through a period of decline, but he made a resurgence in the late 1990s with his portrayal of Vincent Vega in Quentin Tarantino's ""Pulp Fiction"". It earned him an Academy Award nomination for Best Actor. He did a series of high-profile roles in films such as ""Get Shorty,"" “Broken Arrow,” “Face/Off,” and ""Primary Colors"". John Travolta starred in “The People v. O. J. Simpson,” “Hairspray,” “Bolt,” etc. He is now considered a legend in the entertainment industry, and his influence on acting and popular culture will continue to be felt for years to come.",188 cm,18-Feb-1954 (71 years),"Englewood, New Jersey (US)",$250 Million,Aquarius,Single,"Italian-American, Irish-American"
Ralph Fiennes,images/Ralph_Fiennes.jpg,"Ralph Fiennes is an accomplished British actor, director, and producer known for his versatile performances on stage and screen. He became internationally famous in the 1990s with his portrayal of the enigmatic villain, Lord Voldemort, in the ""Harry Potter"" film franchise. Fiennes has since been a staple in the film industry, delivering standout performances in films such as ""Schindler's List"", “The Constant Gardener”, “The Reader”, “The King's Man“, ""The English Patient"", the James Bond franchise, and ""The Grand Budapest Hotel"". He has also had a successful stage career, winning a Tony Award for his performance in ""Hamlet"" on Broadway. In addition to his acting career, Fiennes has also made a name for himself as a director, helming several successful productions, including an adaptation of ""Coriolanus"" in 2011. With a career spanning several decades and a body of work that includes both commercial and critical successes, Fiennes has established himself as one of the most talented actors of his generation.",180 cm,22-Dec-1962 (62 years),Ipswich (England),$50 Million,Capricorn,Single,Caucasian
Ron Howard,images/Ron_Howard.jpg,"Ron Howard is an American film director, producer, and actor who has had a significant impact on Hollywood culture and the film industry. He began his career as a child actor, appearing in numerous television shows and films, including ""The Andy Griffith Show,"" “American Graffiti,” and ""Happy Days."" As a filmmaker, Howard has directed and produced some of the most successful and acclaimed films of the past several decades, including ""Apollo 13,"" ""A Beautiful Mind,"" and ""The Da Vinci Code."" He has won numerous awards and accolades for his contributions to the film industry, including two Academy Awards and a Golden Globe. Howard's work is known for its technical proficiency, strong storytelling, and universal appeal, and he has established himself as one of the most influential and respected figures in Hollywood. His impact on the film industry and Hollywood culture continues to be felt today.",175 cm,01-Mar-1954 (71 years),Oklahoma (United States),$200 Million,Pisces,Married,Caucasian
Sean Connery,images/Sean_Connery.jpg,"Sir Sean Connery was a Scottish actor who had a long and illustrious career in the entertainment industry. He faced several hurdles, including steady work early on and breaking out of typecasting as a tough guy and villain. Despite these challenges, Connery's natural talent and charisma eventually led him to international stardom, and he gained fame. Connery was the first actor to portray the iconic character of James Bond, and his performance cemented his reputation as a leading man. He won an Academy Award for his supporting role in the 1987 film ""The Untouchables,"" and he was also nominated for several other awards. He was knighted in 2000 for his services to drama. Sir Sean Connery's long and successful career included the films “A Bridge Too Far,” “Highlander,” “The Name of the Rose”, “Finding Forrester,” etc. He remains one of the most influential and beloved actors in the history of the entertainment industry.",188 cm,25-Aug-1930 (94 years),Edinburgh (Scotland),$350 Million,Virgo,Married,Scottish
